domain,timestamp,resource,response_code,response_length
mac40212.usask.ca,[02/Jun/1995:16:26:17-0600],/davs/index.html ,200,1855.0
ix-den14-23.ix.netcom.com,[02/Jun/1995:16:34:30-0600],/cgi-bin/hytelnet?file=TH001 ,200,288.0
jumpline.latimes.com,[02/Jun/1995:16:49:24-0600],/~lowey/encyclopedia/p/paleontology.html,200,1868.0
mac5.link.ca,[02/Jun/1995:16:59:23-0600],/ ,304,0.0
ix-sr3-29.ix.netcom.com,[02/Jun/1995:17:13:08-0600],/~scottp/free.html,200,5924.0
doe-223-10.lib.berkeley.edu,[02/Jun/1995:17:23:09-0600],/ ,200,3384.0
j8.ptl1.jaring.my,[02/Jun/1995:17:41:29-0600],/~lowey/,200,1116.0
netcom5.netcom.com,[02/Jun/1995:17:51:34-0600],/cgi-bin/hytelnet?file=TELNET ,200,6904.0
vidarr.usask.ca,[02/Jun/1995:18:02:15-0600],/images/logo.gif ,200,2273.0
193.74.92.109,[02/Jun/1995:18:07:43-0600],/~lowey/webville/icons/help_32.gif,200,214.0
vidarr.usask.ca,[02/Jun/1995:18:14:14-0600],/images/book_32.gif ,200,242.0
levyfr01.nbnet.nb.ca,[02/Jun/1995:18:22:17-0600],/~dougallg/b_canada.gif,200,823.0
imhotep.usask.ca,[02/Jun/1995:18:28:47-0600],/ ,200,3384.0
bos1g.delphi.com,[02/Jun/1995:18:41:10-0600],/cgi-bin/hytelnet?file=DK001 ,200,917.0
h_adapt.roanoke.infi.net,[02/Jun/1995:19:05:49-0600],/library/gic/v1n2/v1n2.html ,200,1439.0
alf.usask.ca,[02/Jun/1995:19:18:14-0600],/~turner/duesouth2.GIF,200,116384.0
www-proxy.crl.research.digital.com,[02/Jun/1995:19:27:12-0600],/~macphed/finite/fe_resources/node104.html,200,2007.0
broadway.sfn.saskatoon.sk.ca,[02/Jun/1995:19:38:02-0600],/~scottp/free.html,200,5924.0
port102.mhv.net,[02/Jun/1995:19:56:24-0600],/~lowey/webville/icons/west_32.gif,200,214.0
eng_pm2.usask.ca,[02/Jun/1995:20:04:23-0600],/~lowey/Saskatchewan/icons/letter.gif,200,149.0
ip097.lax.primenet.com,[02/Jun/1995:20:11:27-0600],/~lowey/webville/streets/main_north.html,200,1402.0
bos1c.delphi.com,[02/Jun/1995:20:36:49-0600],/cgi-bin/hytelnet?file=GLOSSARY ,200,6487.0
ix-bos7-02.ix.netcom.com,[02/Jun/1995:20:47:26-0600],/~ladd/images/at_work.gif,200,242.0
brking.i2k.net,[02/Jun/1995:20:54:55-0600],/~lowey/webville/icons/bus_32.gif,200,286.0
eews04.usask.ca,[02/Jun/1995:21:06:40-0600],/about_lynx/www_start.html ,200,1991.0
